[926149856, 647, 926089552, 647, 1632459891, 1883331683, 442, 474, 1550606691, 1735357008, 1936548210, 1667845468, 1869836146, 1444967526, 1866670163, 1918657892, 365, 323, 556, 264, 1769172581, 1551068783, 1551133031, 1953720676, 1802723676, 1936941424, 1767992621, 1936338542, 1414088448, 1263747423, 412, 212, 1919251285, 1632459891, 1883331683, 1952531568, 1867275361, 1550606691, 279, 516]
[302, 539, 926097184, 647, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 556, 198, 0, 0, 0, 0, 0, 0, 326, 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[269, 340, 926097184, 647, 166, 263, 0, 0, 535, 272, 385, 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 506, 534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[930140192, 647, 550, 297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 349, 249, 0, 0, 319, 529, 0, 0, 0, 0, 0, 0, 529, 443, 0, 0, 134, 354, 0, 0, 0, 0]
[584, 530, 926097184, 647, 400, 264, 348, 507, 0, 0, 258, 439, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 567, 292, 0, 0, 0, 0, 0, 0]
[928063904, 647, 926150528, 647, 266338578, 0, 1326346221, 0, 89, 0, 486, 530, 553, 262, -33554432, -1, 0, 0, 174, 430, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255]
[928064096, 647, 926150528, 647, 334, 332, 1326346221, 0, 89, 0, 486, 530, 553, 262, -33554432, -1, 0, 0, 174, 430, 481, 578, 255, 255, 464, 364, 107, 365, 255, 255, 147, 247, 255, 255, 253, 476, 255, 255, 255, 255]
[531, 193, 926150528, 647, 334, 332, 1326346221, 0, 89, 0, 486, 530, 166, 280, 394, 521, 341, 420, 174, 430, 481, 578, 475, 283, 464, 364, 107, 365, 255, 255, 147, 247, 255, 255, 253, 476, 230, 457, 255, 255]
[928066448, 647, 926150528, 647, 334, 332, 1326346221, 0, 89, 0, 486, 530, 166, 280, 394, 521, 341, 420, 435, 208, 481, 578, 385, 557, 179, 412, 107, 365, 255, 255, 147, 247, 255, 255, 253, 476, 230, 457, 204, 233]
[928066448, 647, 926150528, 647, 239, 301, 430, 420, 89, 0, 486, 530, 166, 280, 394, 521, 341, 420, 435, 208, 481, 578, 385, 557, 179, 412, 107, 365, 255, 255, 147, 247, 255, 255, 253, 476, 230, 457, 204, 233]
